16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;4;20;B30;500564115;Befestigungslasche UG kpl.;1;ST;;1;86;15;S4BS;SP;73053;200;PD;E;HALB
;5;1;W05;500564119;Befestigungslasche UG .;1;ST;;;86;88;S4BS;SP;72883;1;PD;F;ROH
;5;2;W09;500206951;Schweissm.M8 DIN929-A4;1;ST;X;;86;88;S4BS;SP;72883;1;ND;F;ROH
;5;3;W09;500336097;Schweissm.M5 DIN929-A4;1;ST;;;86;88;S4BS;SP;72883;1;PD;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;2;ST;X;1;86;88;S4BS;SP;72883;1;PD;F;KBEI
;4;21;W05;500552814;Befestigungslasche;2;ST;;;86;88;S4BS;SP;73292;1;PD;F;ROH
;4;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;4;ST;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;431;W90;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,250;M;X;1;86;88;S4BS;SP;73292;1;PD;F;KBEI
;4;442;W90;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,094;M;X;1;86;88;S4BS;SP;73053;1;PD;F;KBEI
;4;450;W90;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,188;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;479;;500424387;HV-Naht 2 EN15085-3 CPC2 G199L;    0,064;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;480;W90;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,568;M;X;1;86;88;S4BS;SP;72790;1;PD;F;KBEI
