Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0405;500535894;Halbrundkopfschr.M6x20 ISO7380-2-A4-70;    120;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0406;500418902;Sechskantschr.M6x16 ISO4017-A4-70;      6;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0407;500332596;Sechskantschr.M6x16 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0408;500344440;Sechskantschr.M16x30 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0409;500342701;Zylinderschr.M6x25 ISO4762-A4-80;      7;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0410;500576011;Sechskantschr.M16x85 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0411;500416294;Sechskantschr.M8x20 ISO4017 A4-70;     11;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76887;W09;X
 3;0430;500327961;Scheibe 16 ISO7093-1 200HV-A2;      8;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0431;500333404;Scheibe 12 ISO7093-1 200HV-A4;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0432;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;    102;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76887;W09;X
 3;0433;500053323;Sperrkantscheibe SKB-6-NrFSt;    206;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0434;815001288;Sperrkantscheibe SKM-6-NrFst (A4);     13;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0435;500422615;Scheibe 16 ISO7089-200HV-A4;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0450;500430014;Sechskantm.M6 ISO7040-A4-80;      9;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0451;500440439;Sechskantm.M8 ISO7040-A4-70;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0452;500331695;Sechskantm.M6 ISO7040-A4-70;     81;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0453;500474316;Sechskantm.M5 ISO7040 A4-70;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0454;500446799;Befestigungspl. M8 Bl 12x30x40 EN10029;     14;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76887;W05;
 3;0480;700036650;Schelle D1-13x15 DIN3016-1-W5-CR;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0481;500226925;Systemhalter BFH-23-0:PMA Polyamid;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W11;X
 3;0482;500415811;Schelle D1-28x15 DIN3016-1-W5;      3;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W11;X
 3;0483;500250177;Schelle D1-16x15 DIN3016-1-W5;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0011;500340296;Loctite 243 Schraubensicherung;  0,040;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;W-VIE001;W09;
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;75134;W09;
 3;0001;700011785;Korrosionsschutz - Tectyl 846;  0,000;KG;86;SP;001;PD;F;ROH;1;88;S2MOB3;75134;W09;
 3;0607;700034667;Kabelbinder 4,8x361 TY28MX-RW PA6.6 sw;     35;ST;86;SP;001;ND;F;ROH;1;88;S2MOB3;B-GOT001;W12;X
 3;0620;500576267;Dehnhülse;     12;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0621;500579048;Dehnhülse;      4;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0622;500455434;Befestigungspl. M12 Bl 12x30x40 EN10029;     12;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W02;
 3;0623;500446908;Befestigungspl. M16 Bl 15x30x40 ISO9445;     12;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
