Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 4;0024;815001289;Sperrkantscheibe SKM-5-NrFSt (A4);      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0026;700024686;Zylinderschr.M6x16 ISO4762-A2-70;     15;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0027;700026622;Zylinderschr.M6x20 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0028;700024015;Zylinderschr.M8x20 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0029;500338323;Gewindeplatte M8 GWP40/22 A4;      4;ST;86;SP;001;PD;F;ROH;;88;;75266;W11;
 4;0030;815001288;Sperrkantscheibe SKM-6-NrFst (A4);     27;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0031;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0032;700019595;Sechskantm.M6 ISO4032-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0033;500371898;Halbrundkopfschr.M6x12 ISO7380-2-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0034;500400097;Zylinder-shr BN11252 M6x16-A2;      6;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0035;500153261;Käfigmutter M6 (1,7-2,5)-A2/A2;      9;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0036;500143654;Käfigm.M6-RR-083-35-A2/A2;      2;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0011;500340296;Loctite 243 Schraubensicherung;  0,019;KG;86;SP;001;PD;F;ROH;1;88;;W-VIE001;W09;
 4;0043;500565454;Zellschaumband 20x5 AMCO AM M162;  0,600;M;86;SP;001;PD;F;ROH;1;88;;75266;W02;
