Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 2;0013;584444CM1;Anbau Innenanzeige CM1 FST;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0001;500586651;Abdeckung Innenanzeiger kpl;      1;ST;86;SP;001;PD;F;ROH;;88;E4FL;W-FZU001;W06;
 3;0002;500585664;Halterung Innenanzeiger kpl;      2;ST;86;SP;001;PD;F;ROH;;88;E4FL;W-FZU001;W05;
 3;0003;500588008;Zellschaumband 20x4 AMCO AM SP500;  1,420;M;86;SP;001;PD;F;ROH;1;88;E4FL;W-FZU001;W02;
 3;0004;500589778;MFD G2i 19 Zoll Master;      1;ST;86;SP;001;PD;F;LBEI;;88;E4FL;W-FZU001;W01;
 3;0005;500342701;Zylinderschr.M6x25 ISO4762-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0006;500276454;Senkschr.M6x25 ISO10642-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0007;812020065;Zylinderschr.M4x10 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0008;815001288;Sperrkantscheibe SKM-6-NrFst (A4);      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0009;500330773;Scheibe 1184199 f.Senkschr.M6 INOX A1;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0010;815001290;Sperrkantscheibe SKM-4-NrFSt (A4);      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0011;500340296;Loctite 243 Schraubensicherung;  0,004;KG;86;SP;001;PD;F;ROH;1;88;E4FL;W-VIE001;W09;
 2;0014;567695CM1;Anbau Einzelgeräte CM1 FZU;      1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-FZU001M;;
 3;0003;500512900;Platte Schliesszyl.Bl 4x84x84 EN485-3;      1;ST;86;SP;001;PD;F;ROH;;88;E4FL;W-FZU001;W11;
 3;0004;700011904;Durchführungstülle DA 150/220/30;      1;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W12;X
 3;0005;500475287;Senkschr.Schlitz M3x6  A2;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0006;500491945;Zylinderschr.M4x16 ISO4762-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0007;500336300;Zylinderschr.M5x16 DIN7984-A4-80;      3;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0008;500295292;Zylinderschr.M4x16 DIN6912-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0009;500301520;Senkschr.M4x16 ISO10642-A2-70;      6;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0010;700035733;Zylinderschr.M4x16 ISO4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0011;700036615;Sicherungsscheibe S4 Schnorr NrSt;      2;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0012;812020177;Sperrkantscheibe SKS-4-NrFSt;      6;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0013;812014362;Zylinderschr.M4x12 ISO4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
 3;0014;815000576;Zylinderschraube M 5x25 ISO 4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;E4FL;W-FZU001;W09;X
