Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
5;568;500443979;Dreiblechnaht 4 EN15085-3 CPC2 G199L;    0,140;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;;X
4;9;500541029;U-Profil 2;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;10;500541026;U-Profil 5;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;11;500541030;U-Profil 1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;12;500541031;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;13;500541312;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;14;500541313;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;15;500541027;U-Profil 4;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;16;500541025;U-Profil 6;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;17;500541028;U-Profil 3;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;18;500541311;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;19;500541033;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;20;500541037;Winkel Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;21;500541038;Winkel Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;22;500541039;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;23;500541036;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;24;500541034;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;25;500541040;Winkel Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;26;500541035;Winkel Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;27;500541032;Blech Klebeauflage;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;28;500541044;Rippe 1 Anhebestelle;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;29;500541045;Rippe 2 Anhebestelle;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;30;500543448;Rippe 3 Anhebestelle CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;31;500543449;Rippe 4 Anhebestelle CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;32;500437633;Schweissm.M16 DIN929-A4;2;ST;86;88;SP;1;PD;F;ROH;S4BS;71973;W09;X
4;381;500428238;Punktnaht für Schweißmutter EN15085-3;2;ST;86;88;SP;1;PD;F;KBEI;S4BS;71973;W90;X
4;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;4,230;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,419;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;1,028;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
4;451;500424386;Doppel-KN a3 EN15085-3 CPC2 G199L;1,127;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,741;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;482;500440392;HV-Naht 5 EN15085-3 CPC2 G199L;    0,871;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;1,963;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
4;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;1,250;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;540;500424323;HY-Naht 1,5 EN15085-3 CPC2 G199L;2,202;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;1,608;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,372;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;1324;500434902;HY-Naht 2,5 EN15085-3 CPC2 G2293NL;    0,372;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;3;500541048;Verbindungslasche;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;4;500541049;Verbindungslasche;2;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;5;500541047;Verbindungslasche;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;6;500556466;Lasche Einstieg CM1;2;ST;86;88;SP;1;PD;F;ROH;S4BS;71973;W05;
4;7;500557125;Stuetzblech1 Klapprampe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;71973;W05;
4;8;500557126;Stuetzblech2 Klapprampe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;71973;W05;
