Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ÄndNr;ArbPlatz;EKG;SchGut
4;8;500540644;Aeusserer Laengstraeger li kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549887;Aussentraeger links;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500213250;Schweissm. M10 DIN929-A4;5;ST;86;SP;1;ND;F;ROH;;88;W-FIN001M;S4BS;W09;X
5;3;500206951;Schweissm.M8 DIN929-A4;2;ST;86;SP;1;ND;F;ROH;;88;72884;S4BS;W09;X
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;7;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
5;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,045;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;9;500540645;Aeusserer Laengstraeger re kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549889;Aussentraeger rechts;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500213250;Schweissm. M10 DIN929-A4;5;ST;86;SP;1;ND;F;ROH;;88;W-FIN001M;S4BS;W09;X
5;3;500206951;Schweissm.M8 DIN929-A4;2;ST;86;SP;1;ND;F;ROH;;88;72884;S4BS;W09;X
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;7;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
5;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,045;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;10;500540646;Querträger UB kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500548047;Quertraeger Obergurt;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500548046;Quertraeger Untergurt;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;3;500548045;Auflage 1;2;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;4;500548049;Flanschplatte li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;5;500548221;Flanschplatte re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;6;500548101;Fuehrung li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;7;500548404;Fuehrung re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;8;500548100;Auflage 2;4;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;9;500548048;Deckelblech;2;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;10;500556135;Deckel;2;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;11;500437633;Schweissm.M16 DIN929-A4;2;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W09;X
5;13;500206951;Schweissm.M8 DIN929-A4;4;ST;86;SP;1;ND;F;ROH;;88;72635;S4BS;W09;X
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;6;ST;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,400;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;1,648;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;1,124;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;551;500427485;Gegenlage EN15085-3 CPC2 G199L;    0,410;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;;X
5;1217;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;1,094;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;1219;500437706;Kehlnaht a4 EN15085-3 CPC2 G2293NL;    0,416;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;;X
5;1265;500438150;HV-Naht 4 EN15085-3 CPC2 G2293NL;    0,742;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;1300;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;2,236;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;1302;500434859;HY-Naht 5 EN15085-3 CPC2 G2293NL;    0,416;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
5;1335;500441489;Gegenlage EN15085-3 CPC2 G2293NL;1,224;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;11;500554721;Antennenkonsole;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;13;500548102;Verstaerkungsbl Anhebest li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;14;500548103;Verstaerkungsbl Anhebest re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;17;500557920;Fussbodenauflage li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;18;500557921;Fussbodenauflage re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;19;500328892;Schweissm.M6 DIN929-A4;4;ST;86;SP;1;ND;F;ROH;;88;72635;S4BS;W09;X
4;20;500564115;Befestigungslasche UG kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;73053;S4BS;B30;
5;1;500564119;Befestigungslasche UG .;1;ST;86;SP;1;PD;F;ROH;;88;72883;S4BS;W05;
5;2;500206951;Schweissm.M8 DIN929-A4;1;ST;86;SP;1;ND;F;ROH;;88;72883;S4BS;W09;X
5;3;500336097;Schweissm.M5 DIN929-A4;1;ST;86;SP;1;PD;F;ROH;;88;72883;S4BS;W09;
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;2;ST;86;SP;1;PD;F;KBEI;1;88;72883;S4BS;W90;X
4;21;500552814;Befestigungslasche;2;ST;86;SP;1;PD;F;ROH;;88;73292;S4BS;W05;
4;381;500428238;Punktnaht für Schweißmutter EN15085-3;4;ST;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,250;M;86;SP;1;PD;F;KBEI;1;88;73292;S4BS;W90;X
4;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,094;M;86;SP;1;PD;F;KBEI;1;88;73053;S4BS;W90;X
4;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,188;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;479;500424387;HV-Naht 2 EN15085-3 CPC2 G199L;    0,064;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;;X
4;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,568;M;86;SP;1;PD;F;KBEI;1;88;72790;S4BS;W90;X
4;481;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;1,520;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;5,466;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;537;500424322;I-Naht 2 EN15085-3 CPC2 G199L;    0,180;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;2,322;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;551;500427485;Gegenlage EN15085-3 CPC2 G199L;    0,080;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;;X
4;555;500440395;HY-Naht 3,5 EN15085-3 CPC2 G199L;1,492;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;1217;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;    0,376;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;1264;500438099;HV-Naht 3 EN15085-3 CPC2 G2293NL;    0,376;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;1265;500438150;HV-Naht 4 EN15085-3 CPC2 G2293NL;    0,990;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
4;1300;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;    0,476;M;86;SP;1;PD;F;KBEI;1;88;72635;S4BS;W90;X
3;2;500540648;Türsäule kpl.CM1 7 links;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
4;1;500555192;B Saeule li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;2;500555191;Verstaerkung B-Saeule li.;1;ST;86;SP;1;PD;F;ROH;;88;72883;S4BS;W05;
4;3;500555199;Auflageblech B Saeule;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;4;500555193;Rippe 1;2;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;5;500555195;Rippe 3;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;6;500555210;Flanschplatte oben li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;7;500555197;Rippe oben;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;8;500555196;Rippe 4;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;9;500555194;Rippe 2;3;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;10;500555211;Flanschplatte unten li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;11;500213250;Schweissm. M10 DIN929-A4;2;ST;86;SP;1;ND;F;ROH;;88;W-FIN001M;S4BS;W09;X
4;12;500206951;Schweissm.M8 DIN929-A4;26;ST;86;SP;1;ND;F;ROH;;88;72884;S4BS;W09;X
4;13;500548754;Gurtoese;6;ST;86;SP;1;PD;F;ROH;;88;72883;S4BS;W05;X
4;14;500564140;Haltewinkel;1;ST;86;SP;1;PD;F;ROH;;88;72883;S4BS;W05;
4;15;500362094;Erdungslasche D9 Bl 3x30x40 ISO9445;2;ST;86;SP;100;PD;F;HALB;;88;72883;S4BS;W05;
4;16;700027496;Schweissm.M6 DIN929-A2-70;2;ST;86;SP;1;ND;F;ROH;;88;72884;S4BS;W09;X
4;381;500428238;Punktnaht für Schweißmutter EN15085-3;30;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
4;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,396;M;86;SP;1;PD;F;KBEI;1;88;72883;S4BS;W90;X
4;442;500425890;Kehlnaht z3 EN15085-3 CPC2 G199L;    0,600;M;86;SP;1;PD;F;KBEI;1;88;72644;S4BS;W90;X
4;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;2,525;M;86;SP;1;PD;F;KBEI;1;88;72644;S4BS;W90;X
4;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,151;M;86;SP;1;PD;F;KBEI;1;88;72644;S4BS;W90;X
4;538;500427730;I-Naht 3 EN15085-3 CPC2 G199L;    0,773;M;86;SP;1;PD;F;KBEI;1;88;72883;S4BS;W90;X
4;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;    0,605;M;86;SP;1;PD;F;KBEI;1;88;72883;S4BS;W90;X
4;551;500427485;Gegenlage EN15085-3 CPC2 G199L;    0,713;M;86;SP;1;PD;F;KBEI;1;88;72644;S4BS;;X
4;1217;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;    0,257;M;86;SP;1;PD;F;KBEI;1;88;72644;S4BS;W90;X
